chr	start	end	probeID	score	strand	targetENSG	targetHGNC	targetEntrez	targetBiotype	targetENSName
chr1	879455	879505	ILMN_1709067	37	+	ENSG00000187634	SAMD11	148398	protein_coding	SAMD11
chr1	896001	896051	ILMN_1749751	37	+	ENSG00000187961	KLHL17	339451	protein_coding	KLHL17
chr1	900737	900787	ILMN_1705602	37	+	ENSG00000187961	KLHL17	339451	protein_coding	KLHL17
chr1	910283	910333	ILMN_1711422	37	+	ENSG00000187583	PLEKHN1	84069	protein_coding	PLEKHN1
chr1	910711	910761	ILMN_1784186	37	-	ENSG00000187642	C1orf170	84808	protein_coding	C1orf170
chr1	934355	934405	ILMN_1653466	37	-	ENSG00000188290	HES4	57801	protein_coding	HES4
chr1	949676	949726	ILMN_2054019	37	+	ENSG00000187608	ISG15	9636	protein_coding	ISG15
chr1	984392	984442	ILMN_2234605	37	+	ENSG00000188157	AGRN	375790	protein_coding	AGRN
chr1	991195	991245	ILMN_1770454	37	+	ENSG00000188157	AGRN	375790	protein_coding	AGRN
chr1	1017644	1017694	ILMN_1672811	37	-	ENSG00000131591	C1orf159	54991	protein_coding	C1orf159
chr1	1102512	1102562	ILMN_3308380	37	+	ENSG00000207730	MIR200B	406984	miRNA	MIR200B
chr1	1103259	1103309	ILMN_3308803	37	+	ENSG00000207607	MIR200A	406983	miRNA	MIR200A
chr1	1104405	1104455	ILMN_3309133	37	+	ENSG00000198976	MIR429	554210	miRNA	MIR429
chr1	1121143	1121193	ILMN_1799329	37	+	ENSG00000162571	TTLL10	254173	protein_coding	TTLL10
chr1	1140793	1140843	ILMN_2349633	37	-	ENSG00000186891	TNFRSF18	8784	protein_coding	TNFRSF18
chr1	1146725	1146775	ILMN_2112256	37	-	ENSG00000186827	TNFRSF4	7293	protein_coding	TNFRSF4
chr1	1147347	1147397	ILMN_1710204	37	-	ENSG00000186827	TNFRSF4	7293	protein_coding	TNFRSF4
chr1	1152568	1152618	ILMN_1696065	37	-	ENSG00000078808	SDF4	51150	protein_coding	SDF4
chr1	1153003	1153053	ILMN_2378257	37	-	ENSG00000078808	SDF4	51150	protein_coding	SDF4
chr1	1153115	1153165	ILMN_1785605	37	-	ENSG00000078808	SDF4	51150	protein_coding	SDF4
chr1	1170127	1170177	ILMN_1739749	37	+	ENSG00000176022	B3GALT6	126792	protein_coding	B3GALT6
chr1	1178444	1178494	ILMN_1662949	37	-	ENSG00000184163	FAM132A	388581	protein_coding	FAM132A
chr1	1189425	1189475	ILMN_2387990	37	-	ENSG00000160087	UBE2J2	118424	protein_coding	UBE2J2
chr1	1189664	1189714	ILMN_1772712	37	-	ENSG00000160087	UBE2J2	118424	protein_coding	UBE2J2
chr1	1197704	1197754	ILMN_1693991	37	-	ENSG00000160087	UBE2J2	118424	protein_coding	UBE2J2
chr1	1203122	1203172	ILMN_1671362	37	-	ENSG00000160087	UBE2J2	118424	protein_coding	UBE2J2
chr1	1227349	1227399	ILMN_1754757	37	+	ENSG00000162572	SCNN1D	6339	protein_coding	SCNN1D
chr1	1229513	1229563	ILMN_1743847	37	-	ENSG00000131584	ACAP3	116983	protein_coding	ACAP3
chr1	1246733	1246783	ILMN_1780315	37	+	ENSG00000169972	PUSL1	126789	protein_coding	PUSL1
chr1	1247143	1247193	ILMN_1762316	37	-	ENSG00000127054	CPSF3L	54973	protein_coding	CPSF3L
chr1	1264114	1264164	ILMN_2234310	37	+	ENSG00000224051	GLTPD1	80772	protein_coding	GLTPD1
chr1	1268101	1268151	ILMN_2108135	37	+	ENSG00000169962	TAS1R3	83756	protein_coding	TAS1R3
chr1	1273349	1273400	ILMN_1678564	37	-	ENSG00000107404	DVL1	1855	protein_coding	DVL1
chr1	1273690	1273740	ILMN_1783444	37	-	ENSG00000107404	DVL1	1855	protein_coding	DVL1
chr1	1288592	1288642	ILMN_1682778	37	-	ENSG00000162576	MXRA8	54587	protein_coding	MXRA8
chr1	1290655	1290705	ILMN_2068257	37	-	ENSG00000162576	MXRA8	54587	protein_coding	MXRA8
chr1	1309112	1309162	ILMN_1768396	37	-	ENSG00000175756	AURKAIP1	54998	protein_coding	AURKAIP1
chr1	1334492	1334542	ILMN_2379226	37	-	ENSG00000221978	CCNL2	81669	protein_coding	CCNL2
chr1	1342561	1342611	ILMN_1693352	37	-	ENSG00000242485	MRPL20	55052	protein_coding	MRPL20
chr1	1342609	1342659	ILMN_2189424	37	-	ENSG00000242485	MRPL20	55052	protein_coding	MRPL20
chr1	1372487	1372537	ILMN_2289576	37	+	ENSG00000179403	VWA1	64856	protein_coding	VWA1
chr1	1372635	1372685	ILMN_1773026	37	+	ENSG00000179403	VWA1	64856	protein_coding	VWA1
chr1	1375758	1375808	ILMN_1781636	37	+	ENSG00000179403	VWA1	64856	protein_coding	VWA1
chr1	1375853	1375903	ILMN_1660554	37	+	ENSG00000179403	VWA1	64856	protein_coding	VWA1
chr1	1405069	1405119	ILMN_2231569	37	+	ENSG00000215915	ATAD3C	219293	protein_coding	ATAD3C
chr1	1469912	1469962	ILMN_1738530	37	+	ENSG00000197785	ATAD3A	55210	protein_coding	ATAD3A
chr1	1477143	1477193	ILMN_1664956	37	-	ENSG00000160075	SSU72	29101	protein_coding	SSU72
chr1	1565033	1565083	ILMN_2385178	37	+	ENSG00000197530	MIB2	142678	protein_coding	MIB2
chr1	1565754	1565804	ILMN_2282077	37	+	ENSG00000197530	MIB2	142678	protein_coding	MIB2
chr1	1567559	1567609	ILMN_1808107	37	+	ENSG00000189409	MMP23B	8510	protein_coding	MMP23B
chr1	1716836	1716886	ILMN_1760320	37	-	ENSG00000078369	GNB1	2782	protein_coding	GNB1
chr1	1824050	1824100	ILMN_1859657	37	+	ENSG00000231050	NA		antisense	RP1-140A9.1
chr1	1848457	1848507	ILMN_1739162	37	+	ENSG00000169885	CALML6	163688	protein_coding	CALML6
chr1	1849320	1849370	ILMN_1668246	37	-	ENSG00000178821	TMEM52	339456	protein_coding	TMEM52
chr1	1961926	1961976	ILMN_1779742	37	+	ENSG00000187730	GABRD	2563	protein_coding	GABRD
chr1	1987919	1987969	ILMN_1775050	37	+	ENSG00000067606	PRKCZ	5590	protein_coding	PRKCZ
chr1	2005317	2005367	ILMN_1662155	37	+	ENSG00000067606	PRKCZ	5590	protein_coding	PRKCZ
chr1	2036276	2036326	ILMN_2253286	37	+	ENSG00000067606	PRKCZ	5590	protein_coding	PRKCZ
chr1	2116742	2116792	ILMN_2386982	37	+	ENSG00000067606	PRKCZ	5590	protein_coding	PRKCZ
chr1	2121159	2121209	ILMN_2097790	37	-	ENSG00000162585	C1orf86	199990	protein_coding	C1orf86
chr1	2239340	2239390	ILMN_1710598	37	+	ENSG00000157933	SKI	6497	protein_coding	SKI
chr1	2252868	2252918	ILMN_1655161	37	-	ENSG00000116151	MORN1	79906	protein_coding	MORN1
chr1	2334777	2334827	ILMN_1812067	37	+	ENSG00000157916	RER1	11079	protein_coding	RER1
chr1	2336970	2337020	ILMN_2315289	37	-	ENSG00000157911	PEX10	5192	protein_coding	PEX10
chr1	2338337	2338387	ILMN_1665679	37	-	ENSG00000157911	PEX10	5192	protein_coding	PEX10
chr1	2436851	2436901	ILMN_2061565	37	+	ENSG00000149527	PLCH2	9651	protein_coding	PLCH2
chr1	2440276	2440326	ILMN_1743910	37	-	ENSG00000157881	PANK4	55229	protein_coding	PANK4
chr1	2460260	2460310	ILMN_1794742	37	-	ENSG00000197921	HES5	388585	protein_coding	HES5
chr1	2495102	2495152	ILMN_1697409	37	+	ENSG00000157873	TNFRSF14	8764	protein_coding	TNFRSF14
